'Aleoida Arcus';'A','B','Black Hole','F','G','K','L','M','MS','Neutron Star','T','White Dwarf','Wolf-Rayet Star';'Rocky Body','High Metal Content World';0, 0.30;'Thin Carbon dioxide','Thin Ammonia';175, 180
'Aleoida Coronamus';'A','B','Black Hole','F','G','K','M','MS','Neutron Star','S','T','White Dwarf';'Rocky Body',' Icy Body',' High Metal Content World';0, 0.30;'Thin Carbon dioxide','Thin Argon-rich';180, 190
'Aleoida Gravis';'A','B','Black Hole','CN Star','F','G','K','L','M','Neutron Star','T';'Rocky Body','High Metal Content World';0, 0.30;'Thin Carbon dioxide';190, 195
'Aleoida Laminiae';'A','B','Black Hole','F','G','K','L','M','Neutron Star','T','White Dwarf','Wolf-Rayet Star';'Rocky Body','High Metal Content World';0, 0.30;'Thin Ammonia';150, 180
'Aleoida Spica';'A','B','Black Hole','F','G','K','L','M','Neutron Star','T','White Dwarf';'Rocky Body','High Metal Content World';0, 0.30;'Thin Ammonia';170, 180
'Bacterium Acies';'A','B','Black Hole','F','G','Herbig Ae/Be Star','K','L','M','Neutron Star','T','White Dwarf','Y';'Icy Body','Rocky Ice Body';0, 0.75;'Thick Methane-rich','Thin Neon','Thick Nitrogen';20, 380
'Bacterium Alcyoneum';'A','B','Black Hole','C','CJ','F','G','K','L','M','MS','Neutron Star','O','T','White Dwarf','Wolf-Rayet Star';'Icy Body','Rocky Ice Body','High Metal Content World';0, 0.40;'Thin Ammonia';150, 180
'Bacterium Aurasus';'A','B','Black Hole','CJ','CN','F','G','K','L','M','MS','Neutron Star','O','S','T','White Dwarf','Wolf-Rayet Star';'Icy Body','Rocky Ice Body','High Metal Content World';0, 0.60;'Thin Carbon dioxide';140, 400
'Bacterium Bullaris';'A','B','Black Hole','F','G','K','L','M','Neutron Star','T','White Dwarf';'Icy Body','Rocky Body','Rocky Ice Body','High Metal Content World';0, 0.60;'Thin Methane','Thin Methane-rich';60, 125
'Bacterium Cerbrus';'A','B','Black Hole','CN','F','G','Herbig Ae/Be Star','K','L','M','MS','Neutron Star','O','S','T','White Dwarf','Wolf-Rayet Star';'Icy Body','Rocky Ice Body','High Metal Content World';0, 0.60;'Thin Water','Thin Water-rich','Thin Sulphur dioxide';130, 500
'Bacterium Informem';'A','B','Black Hole','CJ','CN','F','G','Herbig Ae/Be Star','K','L','M','MS','Neutron Star','O','S','T','White Dwarf';'Icy Body','Rocky Body','Rocky Ice Body','High Metal Content World';0, 0.60;'Thin Nitrogen';40, 150
'Bacterium Nebulus';'Black Hole','K','L','M','T','White Dwarf','Y';'Icy Body';0.4, 0.55;'Thin Helium';20, 21
'Bacterium Omentum';'A','Black Hole','F','G','Herbig Ae/Be Star','K','L','M','Neutron Star','T','White Dwarf','Y';'Icy Body';0, 0.60;'Thin Neon','Thin Neon-rich','Thin Nitrogen','Thin Helium','Thin Argon','Thin Methane';20, 160
'Bacterium Scopulum';'Black Hole','F','G','Herbig Ae/Be Star','K','L','M','Neutron Star','T','White Dwarf','Y';'Icy Body','Rocky Ice Body';0, 0.60;'Thin Argon','Thin Helium','Thin Methane','Thin Neon','Thin Neon-rich','Thin Nitrogen','Thin Oxygen';20, 210
'Bacterium Tela';'A','B','Black Hole','CJ','CN','F','G','Herbig Ae/Be Star','K','L','M','MS','Neutron Star','S','T','White Dwarf','Y';'Icy Body','Rocky Body','Rocky Ice Body','High Metal Content World';0, 0.60;'Thin Ammonia','Thin Argon','Thin Argon-rich','Thin Carbon dioxide','Thin Helium','Thin Methane','Thin Neon','Thin Neon-rich','Thin Nitrogen','Thin Oxygen','Thin Sulphur dioxide','Thin Water','Thin Water-rich';20, 630
'Bacterium Verrata';'A','Black Hole','F','G','Herbig Ae/Be Star','K','L','M','Neutron Star','T','White Dwarf';'Icy Body','Rocky Body','Rocky Ice Body','High Metal Content World';0, 0.60;'Thin Ammonia','Thin Argon','Thin Argon-rich','Thin Carbon dioxide-rich','Thin Helium','Thin Methane','Thin Neon','Thin Neon-rich','Thin Nitrogen','Thin Oxygen','Thin Water';20, 435
'Bacterium Vesicula';'A','B','Black Hole','C','CN','F','G','Herbig Ae/Be Star','K','L','M','MS','Neutron Star','S','T','White Dwarf';'Icy Body','Rocky Body','Rocky Ice Body','High Metal Content World';0, 1.0;'Thin Argon';50, 650
'Bacterium Volu';'A','B','Black Hole','F','G','Herbig Ae/Be Star','K','L','M','Neutron Star','T','White Dwarf';'Icy Body','Rocky Body','Rocky Ice Body','High Metal Content World';0.2, 0.6;'Thin Oxygen';145, 250
