aleoida arcus;a,b,black hole,f,g,k,l,m,neutron star,t,white dwarf,wolf-rayet,y;high metal content body,rocky body;0.016, 0.098;0.04, 0.26;thin carbon dioxide;175, 180
aleoida coronamus;a,b,black hole,f,k,l,m,neutron star,t,white dwarf,y;high metal content body,icy body,rocky body;0.026, 0.099;0.04, 0.29;thin argon-rich,thin carbon dioxide;180, 190
aleoida gravis;a,black hole,f,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.055, 0.099;0.05, 0.27;thin carbon dioxide;190, 195
aleoida laminiae;a,b,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;152, 176
aleoida spica;a,b,black hole,f,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0, 0.013;0.04, 0.27;thin ammonia;170, 176
bacterium acies;black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;icy body,rocky ice world;0.001, 0.079;0.27, 0.73;thick methane-rich,thick nitrogen,thin neon;20, 367
bacterium alcyoneum;a,b,black hole,f,g,k,l,m,neutron star,o,t,white dwarf,y;high metal content body,rocky body,rocky ice world;0.001, 0.014;0.04, 0.37;thin ammonia;152, 177
bacterium aurasus;a,b,black hole,f,g,k,l,m,neutron star,t,white dwarf,wolf-rayet star,y;high metal content body,icy body,rocky body,rocky ice world;0.001, 0.099;0.04, 0.6;thin argon-rich,thin carbon dioxide;86, 400
bacterium bullaris;a,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice world;0.001, 0.099;0.03, 0.6;thin methane,thin methane-rich;68, 124
bacterium cerbrus;a,b,black hole,f,g,herbig ae/be,k,l,m,neutron star,o,t,white dwarf,y;high metal content body,rocky body,rocky ice world;0.001, 0.099;0.04, 0.6;thin sulfur dioxide,thin water,thin water-rich;132, 498
bacterium informem;a,black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice world;0.001, 0.098;0.13, 0.59;thin nitrogen;44, 149
bacterium nebulus;black hole,l,m,t,white dwarf,y;icy body;0.067, 0.098;0.4, 0.54;thin helium;20, 20
bacterium omentum;black hole,f,g,herbig ae/be,k,l,m,t,white dwarf,y;icy body;0.001, 0.097;0.03, 0.59;thin argon,thin helium,thin methane,thin neon,thin neon-rich,thin nitrogen;20, 157
bacterium scopulum;black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;icy body,rocky ice world;0, 0.099;0.03, 0.6;thin argon,thin helium,thin methane,thin neon,thin neon-rich,thin nitrogen,thin oxygen;20, 209
bacterium tela;a,b,black hole,cj,cn,f,g,herbig ae/be,k,l,m,ms,neutron star,s,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice world;0.001, 0.099;0.03, 0.61;hot thin sulfur dioxide,thin ammonia,thin argon,thin argon-rich,thin carbon dioxide,thin helium,thin methane,thin neon,thin neon-rich,thin nitrogen,thin oxygen,thin sulfur dioxide,thin water,thin water-rich;20, 499
bacterium verrata;a,black hole,f,g,herbig ae/be,k,l,m,t,white dwarf,y;icy body,rocky body,rocky ice world;0.001, 0.099;0.04, 0.6;thin ammonia,thin argon,thin argon-rich,thin carbon dioxide-rich,thin helium,thin neon,thin neon-rich,thin nitrogen,thin oxygen,thin water;20, 431
bacterium vesicula;a,black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice world;0, 0.098;0.03, 0.98;thin argon;50, 233
bacterium volu;a,b,black hole,f,g,herbig ae/be,k,l,m,t,y;high metal content body,icy body,rocky body,rocky ice world;0.014, 0.099;0.24, 0.51;thin oxygen;145, 244
cactoida cortexum;a,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.025, 0.099;0.04, 0.27;thin carbon dioxide;180, 195
cactoida lapis;a,black hole,f,g,k,l,m,neutron star,o,t,white dwarf,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;160, 177
cactoida peperatis;a,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;160, 176
cactoida pullulanta;a,black hole,f,g,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.027, 0.098;0.04, 0.27;thin carbon dioxide;180, 195
cactoida vermis;a,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.001, 0.099;0.04, 0.27;thin sulfur dioxide,thin water;163, 450
clypeus lacrimam;a,b,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;rocky body;0.055, 0.099;0.04, 0.24;thin carbon dioxide,thin water;190, 452
clypeus margaritus;a,b,f,g,k,l,m,neutron star,t,y;high metal content body;0.053, 0.099;0.05, 0.27;thin carbon dioxide,thin water;190, 450
clypeus speculumi;a,b,f,g,k,m,neutron star;rocky body;0.056, 0.099;0.04, 0.24;thin carbon dioxide,thin water;190, 449
concha aureolas;a,b,black hole,f,g,k,l,m,neutron star,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;152, 177
concha biconcavis;a,black hole,f,g,k,m,t,y;high metal content body,rocky body;0.001, 0.005;0.1, 0.27;thin nitrogen;43, 50
concha labiata;a,b,black hole,f,g,k,l,m,neutron star,t,white dwarf,wolf-rayet,y;high metal content body,rocky body;0.002, 0.098;0.04, 0.24;thin carbon dioxide;150, 195
concha renibus;a,b,black hole,cj,cn,f,g,k,l,m,neutron star,s,t,white dwarf,y;high metal content body,rocky body;0.013, 0.099;0.04, 0.27;thin ammonia,thin carbon dioxide,thin methane,thin water;81, 452
electricae pluma;a,black hole,herbig ae/be,l,m,neutron star,t,white dwarf,y;icy body;0.001, 0.099;0.03, 0.27;thin argon,thin argon-rich,thin neon-rich;50, 148
electricae radialem;a,black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;icy body;0.001, 0.097;0.03, 0.27;thin argon,thin argon-rich,thin neon-rich;50, 148
fonticulua campestris;a,black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;icy body,rocky ice world;0.001, 0.098;0.03, 0.28;thin argon;50, 150
