aleoida arcus;a,b,f,k,m,n,l,t,y;rocky body;0.016, 0.098;0.04, 0.26;thin carbon dioxide;175, 180
aleoida coronamus;a,b,f,k,m,n,l,t,y;high metal content body,rocky body;0.026, 0.099;0.04, 0.29;thin carbon dioxide;180, 190
aleoida gravis;a,b,f,k,m,n,l,t,y;high metal content body,rocky body;0.055, 0.099;0.05, 0.27;thin carbon dioxide;190, 195
aleoida laminiae;a,b,f,k,m,n,l,t,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;152, 176
aleoida spica;a,b,f,k,m,n,l,t,y;high metal content body,rocky body;0, 0.013;0.04, 0.27;thin ammonia;170, 176
bacterium acies;k,m,l,t,y;icy body,rocky ice body;0.001, 0.079;0.27, 0.73;thin neon;20, 140
bacterium alcyoneum;o,b,a,f,g,k,m,l,t,w,d,n,;high metal content body,rocky body;0.001, 0.014;0.04, 0.37;thin ammonia;152, 177
bacterium aurasus;o,b,a,f,g,k,m,l,t,w,d,n,;high metal content body,rocky body;0.001, 0.099;0.04, 0.6;thin carbon dioxide;140, 400
bacterium bullaris;f,g,k,l,m,t,y;icy body;0.001, 0.099;0.03, 0.6;thin methane;65, 130
bacterium cerbrus;o,b,a,f,g,k,m,l,t,w,d,n,;high metal content body,rocky body,rocky ice body;0.001, 0.099;0.04, 0.6;thin sulfur dioxide,thin water;130, 500
bacterium informem;a,black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice body;0.001, 0.098;0.13, 0.59;thin nitrogen;40, 150
bacterium nebulus;black hole,l,m,t,white dwarf,y;icy body;0.067, 0.098;0.4, 0.54;thin helium;20, 21
bacterium omentum;black hole,f,g,herbig ae/be,k,l,m,t,white dwarf,y;icy body;0.001, 0.097;0.03, 0.59;thin argon,thin methane,thin neon,thin neon-rich;20, 157
bacterium scopulum;k,l,m,t;icy body;001, 099;03, 0,6;thin argon,thin methane,thin neon,thin neon-rich;20, 110
bacterium tela;a,b,black hole,cj,cn,f,g,herbig ae/be,k,l,m,ms,neutron star,s,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice body;0.001, 0.099;0.03, 0.61;thin carbon dioxide,thin neon-rich,thin sulfur dioxide,thin water;20, 499
bacterium verrata;a,black hole,f,g,herbig ae/be,k,l,m,t,white dwarf,y;icy body;0.001, 0.099;0.04, 0.6;thin argon,thin neon,thin neon-rich;20, 230
bacterium vesicula;a,black hole,f,g,herbig ae/be,k,l,m,neutron star,t,white dwarf,y;high metal content body,icy body,rocky body,rocky ice body;0, 0.098;0.15, 0.60;thin argon;50, 233
cactoida cortexum;a,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.025, 0.099;0.04, 0.27;thin carbon dioxide;180, 195
cactoida lapis;a,black hole,f,g,k,l,m,neutron star,o,t,white dwarf,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;160, 177
cactoida peperatis;a,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;160, 176
cactoida pullulanta;a,black hole,f,g,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.027, 0.098;0.04, 0.27;thin carbon dioxide;180, 195
cactoida vermis;a,f,g,k,l,m,neutron star,t,white dwarf,y;high metal content body,rocky body;0.001, 0.099;0.04, 0.27;thin sulfur dioxide;163, 450
clypeus lacrimam;a,b,black hole,f,g,k,l,m,neutron star,t,white dwarf,y;rocky body;0.055, 0.099;0.04, 0.24;thin carbon dioxide,thin water;190, 452
clypeus margaritus;a,b,f,g,k,l,m,neutron star,t,y;high metal content body;0.053, 0.099;0.05, 0.27;thin carbon dioxide,thin water;190, 450
clypeus speculumi;a,b,f,g,k,m,neutron star;rocky body;0.056, 0.099;0.04, 0.24;thin carbon dioxide,thin water;190, 449
concha aureolas;a,b,black hole,f,g,k,l,m,neutron star,y;high metal content body,rocky body;0.001, 0.013;0.04, 0.27;thin ammonia;152, 177
concha biconcavis;a,black hole,f,g,k,m,t,y;high metal content body,rocky body;0.001, 0.005;0.1, 0.27;thin nitrogen;43, 50
